MONEDA; MONTODEUDASOL ;EQUIPO;Fecha Desembolso;Dias desde Desembolso;TEA DESEMBOLSO PROMEDIO (%);TEA OFERTA;NIVEL DE PRIORIDAD;
SOLES;373938;Bex Digital 16;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;526500;Bex Digital 17;1/10/2020;171;6,10%;5,10%;Prioridad 4;
SOLES;371455;Bex Digital 3 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;3542281;Bex Digital 11;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;808275;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;314716;Bex Digital 19;1/2/2020;414;6,82%;5,82%;Prioridad 4;
SOLES;1104530;Bex Digital 7 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;233061;Bex Digital 20;1/11/2017;1236;8,24%;7,24%;Prioridad 4;
SOLES;833460;Bex Digital 20;1/4/2020;354;6,73%;5,73%;Prioridad 2;
SOLES;834187;Bex Digital 18;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;526325;Bex Digital 1;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;756655;Bex Digital 7 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;311320;Bex Digital 19;1/4/2017;1450;8,65%;7,65%;Prioridad 4;
SOLES;529720;Bex Digital 3 ;1/2/2019;779;8,15%;7,15%;Prioridad 4;
SOLES;344704;Bex Digital 6 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;245690;Bex Digital 16;1/3/2017;1481;8,61%;7,61%;Prioridad 4;
SOLES;531848;Bex Digital 15;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;871076;Bex Digital 16;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;732668;Bex Digital 17;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;406056;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;406328;Bex Digital 7 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;216997;Bex Digital 21;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;522184;Bex Digital 13;1/2/2018;1144;7,45%;6,45%;Prioridad 4;
SOLES;1194955;Bex Digital 13;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;666376;Bex Digital 13;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;267686;Bex Digital 19;1/12/2019;476;6,84%;5,84%;Prioridad 4;
SOLES;382629;Bex Digital 4 ;1/1/2017;1540;8,65%;7,65%;Prioridad 4;
SOLES;445525;Bex Digital 13;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;557311;Bex Digital 4 ;1/10/2020;171;6,10%;5,10%;Prioridad 4;
DOLARES;204440;Bex Digital 16;1/6/2020;293;5,41%;5,00%;Prioridad 4;
SOLES;204563;Bex Digital 7 ;1/1/2017;1540;8,65%;7,65%;Prioridad 4;
SOLES;645434;Bex Digital 5 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;719288;Bex Digital 11;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;286692;Bex Digital 6 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;519063;Bex Digital 1;1/12/2017;1206;8,07%;7,07%;Prioridad 4;
SOLES;213596;Bex Digital 12;1/8/2020;232;6,07%;5,07%;Prioridad 3;
SOLES;340937;Bex Digital 5 ;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;335564;Bex Digital 17;1/5/2018;1055;7,43%;6,43%;Prioridad 3;
SOLES;799425;Bex Digital 19;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;341653;Bex Digital 16;1/7/2015;2090;8,35%;7,35%;Prioridad 2;
SOLES;277656;Bex Digital 10;1/7/2018;994;7,15%;6,15%;Prioridad 2;
SOLES;226622;Bex Digital 10;1/2/2019;779;8,15%;7,15%;Prioridad 4;
SOLES;1300000;Bex Digital 14;1/11/2020;140;6,37%;5,37%;Prioridad 4;
SOLES;336331;Bex Digital 14;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;734588;Bex Digital 12;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;278196;Bex Digital 21;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;393141;Bex Digital 9 ;1/9/2019;567;7,18%;6,18%;Prioridad 4;
SOLES;666924;Bex Digital 16;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;307131;Bex Digital 2 ;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;300178;Bex Digital 12;1/4/2018;1085;7,40%;6,40%;Prioridad 4;
SOLES;290649;Bex Digital 3 ;1/2/2016;1875;9,18%;8,18%;Prioridad 2;
SOLES;258949;Bex Digital 3 ;1/7/2020;263;6,44%;5,44%;Prioridad 3;
SOLES;276547;Bex Digital 13;1/1/2020;445;6,82%;5,82%;Prioridad 4;
SOLES;683639;Bex Digital 17;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;263541;Bex Digital 16;1/12/2018;841;7,65%;6,65%;Prioridad 2;
SOLES;330553;Bex Digital 19;1/6/2020;293;6,59%;5,59%;Prioridad 3;
SOLES;442525;Bex Digital 19;1/6/2018;1024;7,14%;6,14%;Prioridad 2;
SOLES;359318;Bex Digital 11;1/5/2020;324;6,58%;5,58%;Prioridad 2;
SOLES;213406;Bex Digital 16;1/9/2020;201;5,84%;5,00%;Prioridad 4;
SOLES;478764;Bex Digital 9 ;1/8/2020;232;6,07%;5,07%;Prioridad 3;
