Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
35-44;female;52992;67453;1.27;52;16.22;843.43;12.50401888;856;0.985;1.269;2.02;0.077090715;1626;0.519;2.41;44;277;23012;128;1702.61;199;4.24;;;;;;;;
35-44;female;42048;53027;1.26;34;23.29;791.84;14.93272013;771;1.027;1.454;1.36;0.064118279;1363;0.581;2.57;43;226;19689;91;1076.29;144;5.50;;;;;;;;
35-44;female;37280;45775;1.23;42;17.93;752.98;16.44959039;746;1.009;1.630;1.84;0.09175314;1185;0.635;2.59;23;235;17377;111;1388.13;165;4.56;;;;;;;;
45-54;female;25440;30149;1.19;40;18.55;742.16;24.61640519;635;1.169;2.106;1.78;0.132674384;1079;0.688;3.58;12;239;13208;81;1321.8;156;4.76;;;;;;;;
45-54;female;23232;30606;1.32;36;19.76;711.50;23.24700198;663;1.073;2.166;1.98;0.117623995;1119;0.636;3.66;13;177;12484;50;1412.28;130;5.47;;;;;;;;
35-44;female;32416;43161;1.33;42;16.68;700.62;16.23265504;700;1.001;1.622;1.95;0.097310072;1251;0.560;2.90;31;180;14781;57;1364.12;182;3.85;;;;;;;;
25-34;female;46208;59761;1.29;36;19.43;699.64;11.70726158;800;0.875;1.339;1.60;0.060239956;1583;0.442;2.65;41;197;20065;88;1122.12;175;4.00;;;;;;;;
25-34;female;44288;52411;1.18;45;14.87;669.32;12.77060159;649;1.031;1.238;2.21;0.085859839;1118;0.599;2.13;33;222;18460;162;1479.43;137;4.89;;;;;;;;
45-54;female;24672;29519;1.20;33;19.48;642.71;21.77268368;630;1.020;2.134;1.63;0.111792405;1011;0.636;3.42;17;201;12625;61;1049.85;117;5.49;;;;;;;;
45-54;female;26176;34170;1.31;29;20.41;592.02;17.32559256;596;0.993;1.744;1.56;0.084869769;1062;0.557;3.11;24;214;13950;77;921.95;106;5.59;;;;;;;;
25-34;female;41440;55992;1.35;27;21.68;585.38;10.45462831;641;0.913;1.145;1.48;0.048221174;1399;0.418;2.50;51;185;17405;87;864.85;120;4.88;;;;;;;;
25-34;female;33792;42708;1.26;39;13.36;521.10;12.20135971;530;0.983;1.241;2.37;0.091317786;1049;0.497;2.46;21;121;12844;53;1233.88;124;4.20;;;;;;;;
25-34;female;31680;41024;1.29;19;26.32;499.99;12.18774376;468;1.068;1.141;1.23;0.046314353;1011;0.495;2.46;35;142;13860;99;613.48;80;6.25;;;;;;;;
35-44;female;24848;32064;1.29;21;22.25;467.31;14.57428892;410;1.140;1.279;1.41;0.065494012;768;0.608;2.40;23;142;11413;61;658.32;81;5.77;;;;;;;;
55-64;female;10432;12104;1.16;27;15.96;430.96;35.60475876;393;1.097;3.247;2.06;0.223066755;615;0.701;5.08;9;95;6132;33;887.84;79;5.46;;;;;;;;
55-64;female;11552;12738;1.10;19;22.20;421.76;33.11073871;391;1.079;3.070;1.49;0.149159994;632;0.667;4.96;14;85;6062;27;630.49;81;5.21;;;;;;;;
35-44;female;19888;25171;1.27;18;23.25;418.53;16.62746812;390;1.073;1.549;1.44;0.071510866;640;0.654;2.54;15;140;8534;46;601.56;74;5.66;;;;;;;;
55-64;female;9920;11795;1.19;20;18.98;379.65;32.18725983;366;1.037;3.103;1.73;0.169563374;596;0.637;5.05;13;96;5669;30;655.88;68;5.58;;;;;;;;
25-34;female;26592;33454;1.26;17;21.90;372.38;11.1311054;356;1.046;1.064;1.38;0.050816046;855;0.436;2.56;23;128;11115;51;513.64;79;4.71;;;;;;;;
45-54;female;10992;13696;1.25;24;14.74;353.75;25.82870911;319;1.109;2.329;2.21;0.175233645;491;0.720;3.58;12;108;5623;33;783.08;67;5.28;;;;;;;;
25-34;female;20400;26637;1.31;10;34.02;340.23;12.77283478;337;1.010;1.265;1.01;0.037541765;613;0.555;2.30;13;90;7991;51;344.2;63;5.40;;;;;;;;
35-44;female;17712;23883;1.35;23;14.61;335.93;14.06565339;356;0.944;1.491;2.11;0.09630281;708;0.474;2.96;15;125;8330;47;708.16;82;4.10;;;;;;;;
35-44;female;15536;16651;1.07;11;25.02;275.24;16.52993814;205;1.343;1.231;1.40;0.066062098;306;0.899;1.84;6;43;5981;13;384.12;44;6.26;;;;;;;;
