Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (Enlace);CTR (Enlace);ROAS;Tasa de resultados;Clics (todos);CPC (Anuncio);CTR (Anuncio);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado
35-44;female;52992;67453;1.272.890.248;52;16.22;843.43;1.250.401.888;856;0.98531961;126.903.177;2.02;0.077090715;1626;0.51871684;241.056.736;44;277;23012;128;1702.61;199;423.835.973
35-44;female;42048;53027;1.261.106.355;34;23.29;791.84;1.493.272.013;771;102.702.639;1.453.976.276;1.36;0.064118279;1363;0.58095183;257.038.867;43;226;19689;91;1076.29;144;549.887.049
35-44;female;37280;45775;1.227.870.172;42;17.93;752.98;1.644.959.039;746;100.935.657;1.629.710.541;1.84;0.09175314;1185;0.63542616;258.874.932;23;235;17377;111;1388.13;165;456.351.515
45-54;female;25440;30149;1.185.102.201;40;18.55;742.16;2.461.640.519;635;116.875.591;2.106.205.844;1.78;0.132674384;1079;0.68782206;357.889.151;12;239;13208;81;1321.8;156;47.574.359
45-54;female;23232;30606;1.317.407.025;36;19.76;711.50;2.324.700.198;663;107.314.893;2.166.241.913;1.98;0.117623995;1119;0.63583355;365.614.585;13;177;12484;50;1412.28;130;547.305.956
35-44;female;32416;43161;1.331.472.113;42;16.68;700.62;1.623.265.504;700;100.088.232;1.621.834.527;1.95;0.097310072;1251;0.56004606;289.844.999;31;180;14781;57;1364.12;182;384.954.739
25-34;female;46208;59761;129.330.419;36;19.43;699.64;1.170.726.158;800;0.87454707;1.338.665.685;1.60;0.060239956;1583;0.44196946;264.888.472;41;197;20065;88;1122.12;175;399.792.948
25-34;female;44288;52411;1.183.413.114;45;14.87;669.32;1.277.060.159;649;103.130.971;1.238.289.672;2.21;0.085859839;1118;0.59867621;213.313.999;33;222;18460;162;1479.43;137;488.554.745
45-54;female;24672;29519;1.196.457.523;33;19.48;642.71;2.177.268.368;630;102.017.119;2.134.218.639;1.63;0.111792405;1011;0.63571498;342.491.277;17;201;12625;61;1049.85;117;549.322.948
45-54;female;26176;34170;1.305.394.254;29;20.41;592.02;1.732.559.256;596;0.99331459;1.744.220.076;1.56;0.084869769;1062;0.55745339;310.798.946;24;214;13950;77;921.95;106;558.505.187
